Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
1,5432204,6348991,Parkwide,All NPS Park Units,1979
2,4697126,7080872,Parkwide,All NPS Park Units,1979
3,6300511,12199206,Parkwide,All NPS Park Units,1979
4,6684383,16523304,Parkwide,All NPS Park Units,1979
5,7024187,18766297,Parkwide,All NPS Park Units,1979
6,6701146,24312567,Parkwide,All NPS Park Units,1979
7,7092116,32959011,Parkwide,All NPS Park Units,1979
8,7103073,31376333,Parkwide,All NPS Park Units,1979
9,7154488,19843534,Parkwide,All NPS Park Units,1979
10,7189175,17391533,Parkwide,All NPS Park Units,1979
11,5802030,10526591,Parkwide,All NPS Park Units,1979
12,5884867,8041556,Parkwide,All NPS Park Units,1979
1,5889356,7460393,Parkwide,All NPS Park Units,1980
2,5445680,7710887,Parkwide,All NPS Park Units,1980
3,5805470,11218075,Parkwide,All NPS Park Units,1980
4,6645552,16022120,Parkwide,All NPS Park Units,1980
5,6731887,20835342,Parkwide,All NPS Park Units,1980
6,6803950,26744946,Parkwide,All NPS Park Units,1980
7,7475505,37275095,Parkwide,All NPS Park Units,1980
8,6958916,34175930,Parkwide,All NPS Park Units,1980
9,7088831,20747489,Parkwide,All NPS Park Units,1980
10,7095629,18109926,Parkwide,All NPS Park Units,1980
11,6646680,11495645,Parkwide,All NPS Park Units,1980
12,7273415,8667363,Parkwide,All NPS Park Units,1980
1,6799576,8463025,Parkwide,All NPS Park Units,1981
2,6956598,8869569,Parkwide,All NPS Park Units,1981
3,7145240,12454568,Parkwide,All NPS Park Units,1981
4,7430931,17501763,Parkwide,All NPS Park Units,1981
5,7782755,22948439,Parkwide,All NPS Park Units,1981
6,7636726,29107730,Parkwide,All NPS Park Units,1981
7,9167794,38966590,Parkwide,All NPS Park Units,1981
8,8089029,36337582,Parkwide,All NPS Park Units,1981
9,8022744,24118654,Parkwide,All NPS Park Units,1981
10,7785653,19097895,Parkwide,All NPS Park Units,1981
11,6796264,11784297,Parkwide,All NPS Park Units,1981
12,7457321,8942557,Parkwide,All NPS Park Units,1981
1,6243985,7517213,Parkwide,All NPS Park Units,1982
2,6528925,8771036,Parkwide,All NPS Park Units,1982
3,6961545,13390859,Parkwide,All NPS Park Units,1982
4,7316395,19122832,Parkwide,All NPS Park Units,1982
5,7761178,23641754,Parkwide,All NPS Park Units,1982
6,7713304,29958534,Parkwide,All NPS Park Units,1982
7,8111903,40483733,Parkwide,All NPS Park Units,1982
8,8120676,35736212,Parkwide,All NPS Park Units,1982
9,7967496,23832616,Parkwide,All NPS Park Units,1982
10,7921163,20044132,Parkwide,All NPS Park Units,1982
11,7382002,12909969,Parkwide,All NPS Park Units,1982
12,7494864,9515689,Parkwide,All NPS Park Units,1982
1,7280401,8377167,Parkwide,All NPS Park Units,1983
2,6674984,9105742,Parkwide,All NPS Park Units,1983
3,7213004,12906983,Parkwide,All NPS Park Units,1983
4,7561362,16874707,Parkwide,All NPS Park Units,1983
5,8359346,22550259,Parkwide,All NPS Park Units,1983
6,8185129,31119107,Parkwide,All NPS Park Units,1983
7,8869755,40921505,Parkwide,All NPS Park Units,1983
8,8503841,35502382,Parkwide,All NPS Park Units,1983
9,7284870,25175799,Parkwide,All NPS Park Units,1983
10,7527095,19901746,Parkwide,All NPS Park Units,1983
11,6757421,12729011,Parkwide,All NPS Park Units,1983
12,7809727,8454988,Parkwide,All NPS Park Units,1983
1,5813099,8361532,Parkwide,All NPS Park Units,1984
2,6365254,9875196,Parkwide,All NPS Park Units,1984
3,6614381,13545633,Parkwide,All NPS Park Units,1984
4,6601023,18232682,Parkwide,All NPS Park Units,1984
5,7204425,23352186,Parkwide,All NPS Park Units,1984
6,7298282,30585276,Parkwide,All NPS Park Units,1984
7,7335844,37772735,Parkwide,All NPS Park Units,1984
8,7716133,35443920,Parkwide,All NPS Park Units,1984
9,7344203,25751191,Parkwide,All NPS Park Units,1984
10,7474147,20756751,Parkwide,All NPS Park Units,1984
11,6938169,14098635,Parkwide,All NPS Park Units,1984
12,7180814,11009772,Parkwide,All NPS Park Units,1984
1,5848187,8801859,Parkwide,All NPS Park Units,1985
2,5631387,10076244,Parkwide,All NPS Park Units,1985
3,6613432,15145097,Parkwide,All NPS Park Units,1985
4,6817343,20910934,Parkwide,All NPS Park Units,1985
5,7578144,26049751,Parkwide,All NPS Park Units,1985
6,7419748,32003191,Parkwide,All NPS Park Units,1985
7,7797433,40637713,Parkwide,All NPS Park Units,1985
8,7912151,37168246,Parkwide,All NPS Park Units,1985
9,6985011,26310199,Parkwide,All NPS Park Units,1985
10,6980800,21875703,Parkwide,All NPS Park Units,1985
11,6629756,13681863,Parkwide,All NPS Park Units,1985
12,6534910,10781008,Parkwide,All NPS Park Units,1985
1,6211659,10346671,Parkwide,All NPS Park Units,1986
2,6048084,10026633,Parkwide,All NPS Park Units,1986
3,6679335,16944271,Parkwide,All NPS Park Units,1986
4,6850864,21249454,Parkwide,All NPS Park Units,1986
5,7451578,28531372,Parkwide,All NPS Park Units,1986
6,7623503,33906858,Parkwide,All NPS Park Units,1986
7,7931192,43340620,Parkwide,All NPS Park Units,1986
8,7749633,40269002,Parkwide,All NPS Park Units,1986
9,6870341,26708189,Parkwide,All NPS Park Units,1986
10,6919839,23270554,Parkwide,All NPS Park Units,1986
11,6370291,15172852,Parkwide,All NPS Park Units,1986
12,6750330,11328374,Parkwide,All NPS Park Units,1986
1,5974842,10067556,Parkwide,All NPS Park Units,1987
