Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
1,28,42902,ROMO,Rocky Mountain NP,1980
2,44,59403,ROMO,Rocky Mountain NP,1980
3,24,58790,ROMO,Rocky Mountain NP,1980
4,142,64299,ROMO,Rocky Mountain NP,1980
5,98,93210,ROMO,Rocky Mountain NP,1980
6,2384,410449,ROMO,Rocky Mountain NP,1980
7,3748,573465,ROMO,Rocky Mountain NP,1980
8,3634,609383,ROMO,Rocky Mountain NP,1980
9,1472,389771,ROMO,Rocky Mountain NP,1980
10,532,219495,ROMO,Rocky Mountain NP,1980
11,100,51344,ROMO,Rocky Mountain NP,1980
12,54,69426,ROMO,Rocky Mountain NP,1980
1,60,52645,ROMO,Rocky Mountain NP,1981
2,0,47256,ROMO,Rocky Mountain NP,1981
3,0,63637,ROMO,Rocky Mountain NP,1981
4,0,78529,ROMO,Rocky Mountain NP,1981
5,0,130744,ROMO,Rocky Mountain NP,1981
6,642,439671,ROMO,Rocky Mountain NP,1981
7,2130,674786,ROMO,Rocky Mountain NP,1981
8,1908,677202,ROMO,Rocky Mountain NP,1981
9,656,430738,ROMO,Rocky Mountain NP,1981
10,170,202193,ROMO,Rocky Mountain NP,1981
11,54,51650,ROMO,Rocky Mountain NP,1981
12,218,62191,ROMO,Rocky Mountain NP,1981
1,316,65547,ROMO,Rocky Mountain NP,1982
2,48,59558,ROMO,Rocky Mountain NP,1982
3,54,64554,ROMO,Rocky Mountain NP,1982
4,174,74092,ROMO,Rocky Mountain NP,1982
5,298,106375,ROMO,Rocky Mountain NP,1982
6,2796,366311,ROMO,Rocky Mountain NP,1982
7,3274,573923,ROMO,Rocky Mountain NP,1982
8,4406,613132,ROMO,Rocky Mountain NP,1982
9,2428,360870,ROMO,Rocky Mountain NP,1982
10,736,177760,ROMO,Rocky Mountain NP,1982
11,58,51377,ROMO,Rocky Mountain NP,1982
12,198,50617,ROMO,Rocky Mountain NP,1982
1,3778,67598,ROMO,Rocky Mountain NP,1983
2,2644,70480,ROMO,Rocky Mountain NP,1983
3,2560,60310,ROMO,Rocky Mountain NP,1983
4,4563,79542,ROMO,Rocky Mountain NP,1983
5,4257,91340,ROMO,Rocky Mountain NP,1983
6,9011,322393,ROMO,Rocky Mountain NP,1983
7,15891,552473,ROMO,Rocky Mountain NP,1983
8,23219,625132,ROMO,Rocky Mountain NP,1983
9,14202,432745,ROMO,Rocky Mountain NP,1983
10,10841,193914,ROMO,Rocky Mountain NP,1983
11,6370,76969,ROMO,Rocky Mountain NP,1983
12,4744,26110,ROMO,Rocky Mountain NP,1983
1,5253,51124,ROMO,Rocky Mountain NP,1984
2,4257,49126,ROMO,Rocky Mountain NP,1984
3,3165,46210,ROMO,Rocky Mountain NP,1984
4,3174,46736,ROMO,Rocky Mountain NP,1984
5,4212,75806,ROMO,Rocky Mountain NP,1984
6,14464,303393,ROMO,Rocky Mountain NP,1984
7,27018,514848,ROMO,Rocky Mountain NP,1984
8,30006,605465,ROMO,Rocky Mountain NP,1984
9,63411,355768,ROMO,Rocky Mountain NP,1984
10,75817,93927,ROMO,Rocky Mountain NP,1984
11,2951,52850,ROMO,Rocky Mountain NP,1984
12,458,36195,ROMO,Rocky Mountain NP,1984
1,5832,68416,ROMO,Rocky Mountain NP,1985
2,3676,47012,ROMO,Rocky Mountain NP,1985
3,865,55707,ROMO,Rocky Mountain NP,1985
4,1513,58854,ROMO,Rocky Mountain NP,1985
5,1949,117475,ROMO,Rocky Mountain NP,1985
6,12852,327505,ROMO,Rocky Mountain NP,1985
7,27504,501624,ROMO,Rocky Mountain NP,1985
8,26757,585115,ROMO,Rocky Mountain NP,1985
9,12828,304574,ROMO,Rocky Mountain NP,1985
10,4048,87250,ROMO,Rocky Mountain NP,1985
